country_name,region_name,city_name,Longitude,latitude,city_id
Nigeria,Abia State,Aba North,7.394787707670602,5.0938628,2.0001
Nigeria,Abia State,Aba South,7.349713517654941,5.08765915,2.0002000000000004
Nigeria,Abia State,Arochukwu,7.9064915,5.3876203,2.0003000000000006
Nigeria,Abia State,Bende,7.6326656,5.559261,2.000400000000001
Nigeria,Abia State,Ikwuano,7.572991607658478,5.40927745,2.000500000000001
Nigeria,Abia State,Isiala-Ngwa North,7.442293067171033,5.2795472,2.0006000000000013
Nigeria,Abia State,Isiala-Ngwa South,7.416350925,5.385552199999999,2.0007000000000015
Nigeria,Abia State,Isuikwuato,7.5026511,5.7364821,2.0008000000000017
Nigeria,Abia State,Ohafia,7.832488645403231,5.6629147500000006,2.000900000000002
Nigeria,Abia State,Osisioma Ngwa,7.335839868561562,5.19249225,2.001000000000002
Nigeria,Abia State,Ugwunagbo,7.355465552118695,5.0223493999999995,2.0011000000000023
Nigeria,Abia State,Ukwa East,7.402802303197825,4.9369271,2.0012000000000025
Nigeria,Abia State,Ukwa West,7.264681212658806,4.9791653,2.0013000000000027
Nigeria,Abia State,Umu-Nneochi,7.405340265424122,5.9731936,2.001400000000003
Nigeria,Abia State,Umuahia North,7.476200272801194,5.607821449999999,2.001500000000003
Nigeria,Abia State,Umuahia South,7.461841209875134,5.498079300000001,2.0016000000000034
Nigeria,Adamawa,Demsa,12.08752172995121,9.422218149999999,2.0001
Nigeria,Adamawa,Fufore,12.6503862,9.2211149,2.0002000000000004
Nigeria,Adamawa,Ganye,12.0672152,8.4334477,2.0003000000000006
Nigeria,Adamawa,Girei,12.5451205,9.3627979,2.000400000000001
Nigeria,Adamawa,Gombi,12.7368785,10.1660843,2.000500000000001
Nigeria,Adamawa,Guyuk,11.9337812,9.909171,2.0006000000000013
Nigeria,Adamawa,Hong,12.94792540302047,10.262294749999999,2.0007000000000015
Nigeria,Adamawa,Jada,12.1546554,8.7571276,2.0008000000000017
Nigeria,Adamawa,Larmurde,11.70366471770096,9.557805550000001,2.000900000000002
Nigeria,Adamawa,Madagali,13.488551266407342,10.786603,2.001000000000002
Nigeria,Adamawa,Maiha,13.1836033,10.0619115,2.0011000000000023
Nigeria,Adamawa,Mayo-Belwa,12.020226810083912,8.871243,2.0012000000000025
Nigeria,Adamawa,Michika,13.3887796,10.6204894,2.0013000000000027
Nigeria,Adamawa,Mubi North,13.321450130328785,10.2801221,2.001400000000003
Nigeria,Adamawa,Mubi South,13.328497909670821,10.148035,2.001500000000003
Nigeria,Adamawa,Numan,12.0359283,9.4598443,2.0016000000000034
Nigeria,Adamawa,Shelleng,12.10808912025199,9.9784484,2.0017000000000036
Nigeria,Adamawa,Song,12.5853109,9.7700491,2.001800000000004
Nigeria,Adamawa,Teungo,11.891123982321457,7.8695991,2.001900000000004
Nigeria,Adamawa,Yola North,12.251131996050141,9.26628495,2.002000000000004
Nigeria,Adamawa,Yola South,12.408212476465668,9.2581806,2.0021000000000044
Nigeria,Akwa Ibom State,Abak,7.795666795599514,5.004073099999999,2.0001
Nigeria,Akwa Ibom State,Eastern Obolo,7.682723334359615,4.5130764,2.0002000000000004
Nigeria,Akwa Ibom State,Eket,7.957541614633177,4.6360066,2.0003000000000006
Nigeria,Akwa Ibom State,Esit Eket,8.075903467172743,4.64273405,2.000400000000001
Nigeria,Akwa Ibom State,Essien Udim,7.6567272806092,5.1035626,2.000500000000001
Nigeria,Akwa Ibom State,Etim Ekpo,7.573844611841997,4.954823,2.0006000000000013
Nigeria,Akwa Ibom State,Etinan,7.843149923536664,4.8457415,2.0007000000000015
Nigeria,Akwa Ibom State,Ibeno,8.108555125919988,4.5580121,2.0008000000000017
Nigeria,Akwa Ibom State,Ibesikpo Asutan,7.964799070155389,4.9179451499999995,2.000900000000002
Nigeria,Akwa Ibom State,Ibiono Ibom,7.897450604600483,5.2040105,2.001000000000002
Nigeria,Akwa Ibom State,Ika,7.5426190019120956,5.0161686,2.0011000000000023
Nigeria,Akwa Ibom State,Ikono,7.790899593684118,5.18323465,2.0012000000000025
Nigeria,Akwa Ibom State,Ikot Abasi,7.634969399377504,4.60783505,2.0013000000000027
Nigeria,Akwa Ibom State,Ikot Ekpene,7.7132177,5.181975,2.001400000000003
Nigeria,Akwa Ibom State,Ini,7.75151857782899,5.403971650000001,2.001500000000003
Nigeria,Akwa Ibom State,Itu,8.001036510012643,5.1444471,2.0016000000000034
Nigeria,Akwa Ibom State,Mbo,8.249397606336037,4.6506469,2.0017000000000036
Nigeria,Akwa Ibom State,Mkpat Enin,7.7486073,4.733853,2.001800000000004
Nigeria,Akwa Ibom State,Nsit Atai,8.013983047476689,4.8185556,2.001900000000004
Nigeria,Akwa Ibom State,Nsit Ibom,7.896614017212878,4.90363455,2.002000000000004
Nigeria,Akwa Ibom State,Nsit Ubium,7.948723551688754,4.7597313,2.0021000000000044
Nigeria,Akwa Ibom State,Obot Akara,7.60069573223162,5.24345495,2.0022000000000046
Nigeria,Akwa Ibom State,Okobo,8.123968138524376,4.8136649,2.002300000000005
Nigeria,Akwa Ibom State,Onna,7.8723706795971164,4.63675835,2.002400000000005
Nigeria,Akwa Ibom State,Oron,8.2369999,4.8169432,2.0025000000000053
Nigeria,Akwa Ibom State,Oruk Anam,7.650814706357024,4.82023505,2.0026000000000055
Nigeria,Akwa Ibom State,Udung Uko,8.2441029,4.7596957,2.0027000000000057
Nigeria,Akwa Ibom State,Ukanafun,7.605502805573577,4.9038458,2.002800000000006
